code,code_description,category
MUSAN,Unsanitary Vehicle,
TUNOA,No Operator Immediately Available,
PUTR,Rail Related Problem,
MUO,Miscellaneous Other,
MUPAA,Passenger Assistance Alarm Activated - No Trouble Found,
SUDP,Disorderly Patron,
PUOPO,OPTO (COMMS) Train Door Monitoring,
MUTO,Misc. Transportation Other - Employee Non-Chargeable,
PUSTC,Signals - Track Circuit Problems,
MUIE,Injured Employee,
EUO,RC&S Other,
SUEAS,Emergency Alarm Station Activation,
TUMVS,Operator Violated Signal,
TUNIP,Operator Not In Position,
EUBK,Brakes,
MUCL,Divisional Clerk Related,
TUATC,ATC Operator Related,
MUSC,Miscellaneous Speed Control,
MUIR,Injured or ill Customer (On Train) - Medical Aid Refused,
EUBO,Body,
SUAP,Assault / Patron Involved,
PUTO,T&S Other,
MUI,Injured or ill Customer (On Train) - Transported,
EUAL,Alternating Current,
TUO,Transportation Department - Other,
SUUT,Unauthorized at Track Level,
EUDO,Door Problems - Faulty Equipment,
MUPR1,Priority One - Train in Contact With Person,
EUVE,Work Vehicle,
PUTWZ,Work Zone Problems - Track,
EUNT,Equipment - No Trouble Found,
SUO,Passenger Other,
SUAE,Assault / Employee Involved,
MUDD,Door Problems - Debris Related,
PUSRA,Subway Radio System Fault,
MUD,Door Problems - Passenger Related,
TUS,Crew Unable to Maintain Schedule,
EUCD,Consequential Delay (2nd Delay Same Fault),
TUCC,Transit Control Related Problems,
EUPI,Propulsion System,
PUSAC,Signals Axle Counter Block Failure,
EUME,RC&S Maintenance Error - (Human),
SUPOL,Held By Polce - Non-TTC Related,
PUSWZ,Work Zone Problems - Signals,
EUTL,Trainline System,
EUAC,Air Conditioning,
TUOS,Operator Overshot Platform,
MUIRS,Injured or ill Customer (In Station) - Medical Aid Refused,
PUMO,Station Other,
MUPLB,Fire/Smoke Plan B - Source TTC,
TUDOE,Doors Open in Error,
PUEWZ,,
PUSIS,Signals Track Weather Related,
TUSUP,Supervisory Error,
PUSNT,Signal Problem - No Trouble,
MUTD,Training Department Related Delays,
PUSCR,Subway Car Radio Fault,
PUSO,S/E/C Department Other,
MUWEA,Weather Reports / Related Delays,
PUATC,ATC Signals Other,
PUTIJ,Insulated Joint Related Problem,
EULV,Low Voltage,
PUTTP,Traction Power Rail Related,
PUSTS,Signals - Train Stops,
PUSI,Signals or Related Components Failure,
TUSET,Train Controls Improperly Shut Down,
PUCSC,Signal Control Problem - Signals,
SUG,Graffiti / Scratchiti,
TUKEY,Two Drum Switch Keys Activated,
PUTDN,Debris At Track Level - Uncontrollable,
TUSC,Operator Overspeeding,
EUSC,Speed Control Equipment,
MUIS,Injured or ill Customer (In Station) - Transported,
EUTM,Traction Motors,
EUNEA,No Equipment Available,
EUATC,ATC RC&S Equipment,
PUEO,,
SUROB,Robbery,
PUSSW,Track Switch Failure - Signal Related Problem,
MUEC,Misc. Engineering & Construction Related Problems,
EUOE,Rail Cars & Shops Opr. Error,
PUTIS,Ice / Snow Related Problems,
TUML,Mainline Storage,
TUUR,,
MUPLA,Fire/Smoke Plan A,
EUCA,Compressed Air,
PUCSS,Central Office Signalling System,
EUYRD,Yard/Carhouse Related Problems,
EUTR,Trucks,
PUSZC,Signals Zone Countroller Failure,
PUSTP,Traction Power or Related Components Failure,
MUFS,Fire/Smoke Plan B - Source External to TTC,
PUTSM,Track Switch Failure - Track Related Problem,
PUTTC,Track Circuit Problems - Re: Defective Bolts/Bonding,
MUWR,Work Refusal,
EULT,Lighting System,
EUVA,Warning Alarm Systems,
EUECD,ECD / Line Mechanic Related Prob.,
MUPF,,
PUTOE,T & S Operator Related Problems,
EUTRD,TR Cab Doors,
MUNOA,No Operator Immediately Available - Not E.S.A. Related,
TUOPO,OPTO Operator Related,
EUCO,Couplers,
SUSP,Suspicious Package,
PUEME,,
PUTD,Track Level Debris - Controllable,
MUPLC,Fire/Smoke Plan C,
PUTSC,Signal Control Problem - Track,
SUSA,Sexual Assault,
TFPD,,
SUBT,Bomb Threat,
PUTCD,T & S Contractor Problems,
PUSCA,SCADA Related Problems,
PUTS,Structure Related Problem,
PUSIO,Smart IO Failure,
EUOPO,OPTO RC&S Non-Train Door Monitoring,
MUCP,,
SUL,,
MUFL,,
EUHV,High Voltage,
PUTNT,T&S Related Problem - NTF,
MUBIO,,
MUATC,ATC Project,
MUESA,No Operator Immediately Available,
PUMEL,Escalator/Elevator Incident,
