station_id,station_name,line
1,BATHURST STATION,BD
2,DONLANDS STATION,BD
3,BLOOR-YONGE STATION,YU
4,VAUGHAN METROPOLITAN CENTRE STATION,YU
5,COLLEGE STATION,YU
6,ST PATRICK STATION,YU
7,ST GEORGE STATION,YU
8,RUNNYMEDE STATION,BD
9,KIPLING STATION,BD
10,YORK MILLS STATION,YU
11,SHEPPARD WEST STATION,YU
12,DUNDAS STATION,YU
13,CASTLE FRANK STATION,BD
14,FINCH WEST STATION,YU
15,WELLESLEY STATION,YU
16,DUNDAS WEST STATION,BD
17,FINCH STATION,YU
18,EGLINTON STATION,YU
19,KENNEDY STATION,BD
20,WILSON STATION,YU
21,ST CLAIR WEST STATION,YU
22,BAY STATION,BD
23,MAIN STREET STATION,BD
24,ST ANDREW STATION,YU
25,BROADVIEW STATION,BD
26,UNION STATION,YU
27,QUEEN STATION,YU
28,ST CLAIR STATION,YU
29,DAVISVILLE STATION,YU
30,SHEPPARD-YONGE STATION,YU
31,ROSEDALE STATION,YU
32,NORTH YORK CENTRE STATION,YU
33,COXWELL STATION,BD
34,ISLINGTON STATION,BD
35,VICTORIA PARK STATION,BD
36,LAWRENCE STATION,YU
37,HIGH PARK STATION,BD
38,WARDEN STATION,BD
39,EGLINTON WEST STATION,YU
40,OSSINGTON STATION,BD
41,OLD MILL STATION,BD
42,MUSEUM STATION,YU
43,LANSDOWNE STATION,BD
44,DUPONT STATION,YU
45,SUMMERHILL STATION,YU
46,CHRISTIE STATION,BD
47,KING STATION,YU
48,ROYAL YORK STATION,BD
49,PAPE STATION,BD
50,JANE STATION,BD
51,SHERBOURNE STATION,BD
52,WOODBINE STATION,BD
53,KEELE STATION,BD
54,PIONEER VILLAGE STATION,YU
55,YORKDALE STATION,YU
56,HIGHWAY 407 STATION,YU
57,SPADINA STATION,YU
58,DOWNSVIEW PARK STATION,YU
59,DON MILLS STATION,SHP
60,OSGOODE STATION,YU
61,LAWRENCE WEST STATION,YU
62,GREENWOOD STATION,BD
63,GLENCAIRN STATION,YU
64,CHESTER STATION,BD
65,DUFFERIN STATION,BD
66,LESLIE STATION,SHP
67,BAYVIEW STATION,SHP
68,YORK UNIVERSITY STATION,YU
69,UNKNOWN / OTHER,YU
70,BESSARION STATION,SHP
71,QUEENS PARK STATION,YU
